period,window,training_observations,intercept,trend_gwh_per_year,month_february,month_march,month_april,month_may,month_june,month_july,month_august,month_september,month_october,month_november,month_december,heating_gwh_per_degree,cooling_gwh_per_degree
2018-06-01,expanding,209,5949.45999,310.87501,-641.957022,282.359068,-339.49234,-159.319915,-160.944031,113.751971,-96.677524,-514.755808,-113.468674,-88.267499,278.930292,137.990984,313.20516
2018-06-01,recent_60m,60,8674.692516,133.863656,-949.916735,-12.311,-708.968782,-450.90887,-420.479051,8.301625,-365.053238,-903.402594,-398.873027,-446.757571,-72.348933,176.612729,415.318035
2018-07-01,expanding,210,5950.335723,310.52562,-641.386601,284.230164,-336.98714,-152.140669,-160.256426,126.472146,-86.70567,-507.710409,-110.741328,-86.195113,280.102145,136.272335,313.823205
2018-07-01,recent_60m,60,8807.503465,124.288807,-946.908688,-0.918883,-695.240673,-426.007207,-255.74022,38.03595,-343.256261,-883.469885,-388.541523,-437.541599,-71.414563,172.453085,418.304714
2018-08-01,expanding,211,5949.848507,310.720045,-641.704049,283.188867,-338.362446,-155.849356,-166.314015,126.27091,-91.802328,-511.348974,-112.227643,-87.348429,279.449994,137.12963,313.479251
2018-08-01,recent_60m,60,8820.598153,123.341599,-946.602145,0.247846,-695.662366,-457.623359,-326.124616,89.301759,-387.943285,-920.005834,-393.466739,-436.586029,-71.3151,185.065805,418.612294
2018-09-01,expanding,212,5951.369029,310.113294,-640.713381,286.438466,-334.063277,-144.165955,-147.197175,147.140302,-95.718191,-499.886074,-107.577222,-83.749248,281.485178,134.416335,314.552635
2018-09-01,recent_60m,60,8828.144038,122.795772,-946.425521,0.920081,-695.901336,-475.764947,-366.515506,47.219098,-384.556893,-940.972419,-396.291419,-436.035484,-71.257802,192.304373,418.789509
2018-10-01,expanding,213,5955.654939,308.392533,-637.897018,295.677197,-326.684546,-184.502121,-235.625645,47.735353,-166.347367,-603.501126,-102.437466,-73.517296,287.269912,152.143532,317.604548
2018-10-01,recent_60m,60,8897.49173,117.792074,-944.841763,6.925717,-691.067258,-507.559919,-443.941441,-33.378014,-430.649595,-1051.181153,-398.711857,-431.161657,-70.760271,207.255002,420.366242
2018-11-01,expanding,214,5961.302084,306.134814,-634.207979,307.778209,-312.645805,-170.918901,-222.525167,60.869313,-152.627031,-589.122337,-168.021588,-60.114759,294.848073,152.39009,321.601765
2018-11-01,recent_60m,60,9053.099607,106.570953,-941.308709,20.311192,-676.529471,-508.069926,-463.453272,-53.508278,-435.086268,-1046.138339,-535.205246,-420.322898,-69.659124,213.728027,423.877001
2018-12-01,expanding,215,5951.641547,304.00869,-626.862107,332.140983,-284.272317,-140.126417,-189.342622,94.739176,-119.893544,-557.762968,-138.441387,-105.974012,309.325281,151.576829,329.786763
2018-12-01,recent_60m,60,9164.390687,98.54662,-938.785126,29.870245,-665.549913,-497.262639,-453.083976,-42.556522,-422.646583,-1032.555666,-520.292742,-507.243447,-68.873988,214.087341,426.383606
2019-01-01,expanding,216,5892.853285,302.209046,-607.561587,396.57735,-209.727956,-63.456809,-110.655286,174.00706,-41.584377,-480.613184,-62.792862,-35.005125,294.635209,150.890405,351.652282
2019-01-01,recent_60m,60,9083.408717,87.489844,-887.406027,255.363391,-417.388285,-248.099514,-204.59363,206.731,-171.257558,-779.562024,-265.425337,-251.195849,51.612025,214.604931,494.569688
2019-02-01,expanding,217,5847.977798,301.065049,-566.982201,448.811143,-154.790424,-7.211379,-53.124276,231.907794,15.705168,-424.062704,-7.199311,19.361579,340.990944,150.452975,357.270605
2019-02-01,recent_60m,60,9136.863396,75.536503,-826.056923,375.469298,-289.085188,-119.689285,-76.856186,335.334512,-40.422517,-647.01563,-130.885827,-115.389303,140.204973,215.14678,517.310118
2019-03-01,expanding,218,5837.647212,299.808325,-601.692235,467.109546,-133.407724,15.609417,-28.891312,256.546891,39.672904,-400.906793,14.905457,40.065006,352.527585,149.972475,363.696511
2019-03-01,recent_60m,60,9124.573679,74.913704,-836.552756,395.005229,-267.43138,-97.928758,-55.136368,357.099014,-18.537561,-625.039084,-108.802057,-93.238599,148.692592,215.176848,523.77945
2019-04-01,expanding,219,5812.829962,297.177168,-588.842266,423.984878,-85.45634,66.576617,25.032154,311.320587,93.041198,-349.237956,64.373855,86.399631,378.304032,148.966594,378.096956
2019-04-01,recent_60m,60,9653.677623,43.983602,-837.357684,360.458502,-324.845241,-156.38195,-115.256828,299.225301,-70.691529,-672.796353,-151.445977,-132.615923,132.983268,216.555022,513.831105
2019-05-01,expanding,220,5822.995668,294.833532,-585.801138,433.903917,-157.237767,74.125076,29.963723,315.799159,99.38437,-340.728052,75.565237,97.422891,384.841228,150.000108,381.341521
2019-05-01,recent_60m,60,9953.878863,26.533539,-837.979118,344.44221,-390.177881,-192.471464,-153.954829,261.664901,-103.790334,-702.699847,-177.468256,-156.524508,123.470864,217.874067,507.726384
2019-06-01,expanding,221,5830.794115,293.108091,-583.644017,440.932566,-150.219905,0.353143,2.330705,284.3733,78.238652,-349.759024,81.774674,105.243974,389.494174,156.275841,383.636951
2019-06-01,recent_60m,60,10200.647481,12.260298,-838.607965,330.242615,-406.112338,-215.444867,-230.062963,184.666822,-159.844847,-746.128322,-203.765365,-177.300134,115.222208,226.538159,502.378491
2019-07-01,expanding,222,5837.160001,291.697623,-581.878333,446.685986,-146.193818,-34.55573,-129.904634,199.20668,16.874726,-383.033416,83.893412,111.645758,393.302309,170.940058,385.516024
2019-07-01,recent_60m,60,10504.043958,-5.289565,-839.379067,312.802503,-426.359822,-269.663094,-289.74677,61.322615,-246.42472,-810.807796,-238.493143,-202.823791,105.088133,242.021424,495.809107
2019-08-01,expanding,223,5840.464279,290.967216,-580.965989,449.65865,-142.638153,-29.327473,-123.016323,180.001866,22.99396,-378.003788,87.533041,114.953671,395.270414,170.336927,386.486805
2019-08-01,recent_60m,60,10716.996237,-17.603328,-839.927601,300.497409,-438.234555,-266.170832,-267.249819,189.496883,-244.317994,-816.031147,-254.338416,-220.808153,97.948518,235.690952,491.177692
2019-09-01,expanding,224,5845.588444,289.835411,-579.553306,454.261454,-136.364589,-9.121706,-88.950207,218.040059,13.043354,-358.648569,94.493312,120.075701,398.318057,165.145085,387.989892
2019-09-01,recent_60m,60,10889.415117,-27.571158,-840.37527,290.503429,-446.715196,-243.184199,-205.177462,263.44537,-118.461072,-800.767341,-263.028933,-235.403065,92.15497,222.220857,487.417922
2019-10-01,expanding,225,5852.562006,288.293642,-577.627179,460.537321,-129.092053,-1.776015,-81.541841,225.558368,20.729035,-409.127232,101.77339,127.059304,402.473023,165.169904,390.039414
2019-10-01,recent_60m,60,11024.921214,-35.406689,-840.724281,282.673722,-454.281878,-241.149297,-191.269654,281.245701,-107.277041,-712.949187,-273.150073,-246.846587,87.612,218.270172,484.470945
2019-11-01,expanding,226,5859.260754,286.81305,-575.777974,466.562513,-121.747319,10.994945,-63.37948,245.328063,37.508755,-396.128244,54.267277,133.764026,406.462158,163.183077,392.007049
2019-11-01,recent_60m,60,10772.500164,-20.810583,-840.074244,297.258024,-440.154079,-244.360893,-215.917445,249.543441,-127.095456,-721.310938,-321.067167,-225.530537,96.074284,225.389838,489.960296
2019-12-01,expanding,227,5892.047434,285.407217,-580.904555,449.239672,-141.372548,-6.683417,-79.088115,230.258433,21.461421,-413.431363,35.411795,57.843153,396.801778,162.484381,386.028594
2019-12-01,recent_60m,60,10702.776957,-17.509715,-838.678047,311.945926,-424.221545,-229.472418,-202.384358,262.489533,-113.724513,-707.537968,-306.861738,-216.798076,102.837815,225.770231,494.875795
2020-01-01,expanding,228,5901.312711,283.858936,-579.559476,453.569334,-136.184908,0.687784,-69.550115,240.499478,30.62718,-405.64677,41.488994,63.474264,339.735488,161.715836,387.415037
2020-01-01,recent_60m,60,10737.131313,-20.175313,-837.636039,319.865526,-415.265436,-219.550063,-191.373067,273.973233,-102.580272,-696.714872,-296.384204,-206.619132,87.80978,225.465019,497.287192
2020-02-01,expanding,229,5873.22082,283.130114,-552.219188,487.066299,-101.301785,36.610188,-32.608461,277.771872,67.393835,-369.529734,76.802964,98.03192,370.152473,161.354333,390.374761
2020-02-01,recent_60m,60,10585.706201,-14.577823,-823.092464,375.658917,-355.192433,-161.116731,-135.244103,329.105074,-46.724129,-640.173257,-239.105345,-151.534482,111.594204,226.11217,512.401785
2020-03-01,expanding,230,5940.852821,281.659358,-627.45132,439.811711,-155.113047,-15.212492,-82.367379,228.682333,17.279626,-420.959996,23.745883,48.65108,343.602139,160.622213,374.377916
2020-03-01,recent_60m,60,11063.112394,-32.770556,-869.184222,208.247504,-535.738285,-336.286655,-302.926591,164.662777,-213.519143,-809.194832,-410.521689,-316.157946,43.760309,224.009573,465.699085
2020-04-01,expanding,231,6084.88886,280.242777,-658.991089,253.410895,-285.713143,-144.013596,-209.17333,102.523193,-109.87082,-549.383511,-106.251207,-72.235571,278.092197,159.914265,335.45038
2020-04-01,recent_60m,60,11489.481745,-38.390504,-899.960971,-250.629954,-868.851252,-669.233756,-633.492745,-164.882813,-543.835565,-1140.241679,-742.352837,-635.059218,-87.202168,223.336116,373.801798
2020-05-01,expanding,232,6098.16391,276.660135,-653.659411,271.491032,-397.123153,-127.20921,-195.201416,115.911681,-94.333367,-531.22711,-84.974612,-51.747096,290.093916,161.095128,341.639283
2020-05-01,recent_60m,60,11916.095655,-62.164752,-900.100223,-265.127873,-1144.818549,-709.739164,-674.603713,-204.759472,-580.055115,-1172.858771,-771.294604,-660.60018,-98.039308,224.246943,367.565212
